pilot_row_index	source_row_index	source_file_index	id	word	_5	context	w_word	wo_word	followup	human_negative_followups	human_negative_pilot_row_indices	human_negative_source_row_indices	human_negative_count	followup_token_length	followup_final_punctuation	build_seed	human_negative_target	row_limit	prompt_with	prompt_without	next_speaker	fold_id
900	900	2417	8676	not		do you like playing games?	I like playing computer games, but I'm not really into board games.	I like playing computer games, but I'm really into board games.	how about individual games like the Rubik's cube or solitaire?	"[""Hug! And this sweater from my aunt? Isn\u2019t it hideous?"",""Mr. : Would you like to go to the nurse's?"",""oh, that's exciting. What's this guy like? Is he hot?"",""Very good. What was your favorite subject in middle school?"",""Would you rather have her or your old boss back?""]"	[735,334,897,1089,798]	[735,334,897,1089,798]	5	10	?	13	5		"Speaker 1: do you like playing games?
Speaker 2: I like playing computer games, but I'm not really into board games.
Speaker 1: "	"Speaker 1: do you like playing games?
Speaker 2: I like playing computer games, but I'm really into board games.
Speaker 1: "	Speaker 1	0
901	901	2418	8677	not		how did your interview go?	Pretty well. I don't know if I'll get the promotion or not, but I feel good about it.	Pretty well. I don't know if I'll get the promotion or, but I feel good about it.	if you get the promotion, what will your new title be?	"[""Sure it is. Is it convenient to get there by plane?"",""Would you sit here, please? How would you like it cut?"",""Can you leave a message for her to call her office?"",""It's our wedding anniversary, honey. How can you forget about it?"",""Will you sit here, please? How would you like it cut?""]"	[1000,266,7,177,74]	[1000,266,7,177,74]	5	11	?	13	5		"Speaker 1: how did your interview go?
Speaker 2: Pretty well. I don't know if I'll get the promotion or not, but I feel good about it.
Speaker 1: "	"Speaker 1: how did your interview go?
Speaker 2: Pretty well. I don't know if I'll get the promotion or, but I feel good about it.
Speaker 1: "	Speaker 1	0
902	902	2419	8679	not		do you mind if I sit here?	No, of course not. Go ahead.	No, of course. Go ahead.	don't I know you?	"[""What is bothering you?"",""So, what's the problem?"",""Where are you going?"",""What are you studying?"",""Just in case, right?""]"	[1042,368,53,348,251]	[1042,368,53,348,251]	5	4	?	13	5		"Speaker 1: do you mind if I sit here?
Speaker 2: No, of course not. Go ahead.
Speaker 1: "	"Speaker 1: do you mind if I sit here?
Speaker 2: No, of course. Go ahead.
Speaker 1: "	Speaker 1	1
903	903	2421	8688	not		if you can choose, will you marry a foreigner or a Chinese?__eou__why? Did tom pop the question?	Not yet. But I wonder if I can get my parents’consent.	Yet. But I wonder if I can get my parents’consent.	let me guess, your parents want you to marry a Chinese man, right?	"[""I've heard that the company is very strict with its staff.Is that true?"",""Thank you. Can I get you some coffee or a cup of tea?"",""Fair enough. Give it to me straight. Did she bully you into this?"",""Haven't I asked you to call if you're going to be home late?"",""OK, here's your question What movie won the 1996 Oscar for Best Picture?""]"	[1162,1115,614,306,799]	[1162,1115,614,306,799]	5	13	?	13	5		"Speaker 1: if you can choose, will you marry a foreigner or a Chinese?
Speaker 2: why? Did tom pop the question?
Speaker 1: Not yet. But I wonder if I can get my parents’consent.
Speaker 2: "	"Speaker 1: if you can choose, will you marry a foreigner or a Chinese?
Speaker 2: why? Did tom pop the question?
Speaker 1: Yet. But I wonder if I can get my parents’consent.
Speaker 2: "	Speaker 2	2
904	904	2426	8698	not		our company is going to do some cutbacks soon.__eou__really? Where did you hear that?__eou__I met with the supervisor just this morning. I don't know, but I am a little worried. Who do you think will get sacked?	I'm not sure ... well, first, it couldn't be George. He is such a kiss-ass. He'd wash the boss's dog if he asked.	I'm sure ... well, first, it couldn't be George. He is such a kiss-ass. He'd wash the boss's dog if he asked.	no, it's not going to be George. I don't think it's Andy either. He is involved with the boss's sister in-law. And you know how whipped our boss is.	"[""$ 200? If they get a hold of your credit card number, you're going to be out a lot more than $ 200! I had a friend who ..."",""Yes. And you also overworked in last month, when Steven asked for leave. I have been very satisfied with your performance. And your dependability has been a great asset."",""Well, I prefer yogurt to all the other drinks. Have you ever tried a kind of yogurt with old milk in it? It tastes great and very healthy too."",""I'm the same with you, an amateur mountain climber. I went climbing in the Rocky Mountains with my friends last summer vacation. We spent two days in the mountains."",""It's almost like going on an ocean cruise except that you go by land. Everything is planned for you from the moment you step on board a luxury coach.""]"	[803,1052,760,78,597]	[803,1052,760,78,597]	5	29	.	13	5		"Speaker 1: our company is going to do some cutbacks soon.
Speaker 2: really? Where did you hear that?
Speaker 1: I met with the supervisor just this morning. I don't know, but I am a little worried. Who do you think will get sacked?
Speaker 2: I'm not sure ... well, first, it couldn't be George. He is such a kiss-ass. He'd wash the boss's dog if he asked.
Speaker 1: "	"Speaker 1: our company is going to do some cutbacks soon.
Speaker 2: really? Where did you hear that?
Speaker 1: I met with the supervisor just this morning. I don't know, but I am a little worried. Who do you think will get sacked?
Speaker 2: I'm sure ... well, first, it couldn't be George. He is such a kiss-ass. He'd wash the boss's dog if he asked.
Speaker 1: "	Speaker 1	3
905	905	2427	8699	not		The band is pretty good. How do you like the music?__eou__it's very nice. I haven't heard live music in a while. This is fun.__eou__well, then, may I invite you for the next dance?	Of course. But I'm afraid I'm not much of a dancer ...	Of course. But I'm afraid I'm much of a dancer ...	don't worry. I'm not much of a dancer myself.	"[""I'm most grateful. Everyone in our class enjoyed it."",""Apology is accepted. Try to do better next time."",""It will make you as fit as a fiddle."",""Are you kidding me? Becky? She\u2019s a real bitch."",""In that case, I guess I can rest assured.""]"	[548,1176,759,872,1047]	[548,1176,759,872,1047]	5	9	.	13	5		"Speaker 1: The band is pretty good. How do you like the music?
Speaker 2: it's very nice. I haven't heard live music in a while. This is fun.
Speaker 1: well, then, may I invite you for the next dance?
Speaker 2: Of course. But I'm afraid I'm not much of a dancer ...
Speaker 1: "	"Speaker 1: The band is pretty good. How do you like the music?
Speaker 2: it's very nice. I haven't heard live music in a while. This is fun.
Speaker 1: well, then, may I invite you for the next dance?
Speaker 2: Of course. But I'm afraid I'm much of a dancer ...
Speaker 1: "	Speaker 1	2
906	906	2430	8702	not		what's your opinion about childless couples? Will you choose to have no kids?__eou__to be honest, I wouldn't.__eou__why? Do you have to make a choice now?	Not really. But it has puzzled me for a long time.	Really. But it has puzzled me for a long time.	what's the puzzle?	"[""Is it broken?"",""What's the problem?"",""Are you sure?"",""Are you married?"",""What's the matter?""]"	[967,961,158,672,1124]	[967,961,158,672,1124]	5	3	?	13	5		"Speaker 1: what's your opinion about childless couples? Will you choose to have no kids?
Speaker 2: to be honest, I wouldn't.
Speaker 1: why? Do you have to make a choice now?
Speaker 2: Not really. But it has puzzled me for a long time.
Speaker 1: "	"Speaker 1: what's your opinion about childless couples? Will you choose to have no kids?
Speaker 2: to be honest, I wouldn't.
Speaker 1: why? Do you have to make a choice now?
Speaker 2: Really. But it has puzzled me for a long time.
Speaker 1: "	Speaker 1	3
907	907	2432	8710	not		what's your apartment like?__eou__it's furnished two bedroom flat in a three-story building on campus.__eou__what is it like living in on-campus housing?	It's not as bad as I thought it would be. The freshmen that live nearby are really loud, especially on the weekends. But, the rent is much cheaper than private housing, so it's worth it.	It's as bad as I thought it would be. The freshmen that live nearby are really loud, especially on the weekends. But, the rent is much cheaper than private housing, so it's worth it.	did you have to pay a deposit?	"[""Do you have to water it now?"",""how much are you looking to spend?"",""Is there any special brand you'd like?"",""Can I see it for a second?"",""You mean noise? How could it be?""]"	[928,303,103,1207,643]	[928,303,103,1207,643]	5	7	?	13	5		"Speaker 1: what's your apartment like?
Speaker 2: it's furnished two bedroom flat in a three-story building on campus.
Speaker 1: what is it like living in on-campus housing?
Speaker 2: It's not as bad as I thought it would be. The freshmen that live nearby are really loud, especially on the weekends. But, the rent is much cheaper than private housing, so it's worth it.
Speaker 1: "	"Speaker 1: what's your apartment like?
Speaker 2: it's furnished two bedroom flat in a three-story building on campus.
Speaker 1: what is it like living in on-campus housing?
Speaker 2: It's as bad as I thought it would be. The freshmen that live nearby are really loud, especially on the weekends. But, the rent is much cheaper than private housing, so it's worth it.
Speaker 1: "	Speaker 1	4
908	908	2433	8711	not		you haven't spent much time with Sophia lately. Are you speaking to each other at the moment?	No, we're not. We've been drifting apart for a while.	No, we're. We've been drifting apart for a while.	but you two used to do everything together. I thought you really enjoyed each other's company.	"[""I\u2019m sorry. I think you are calling the wrong person. My name is not Mr. Bernie."",""Welcome to the electronic age! I can run you through it; it's what I'm here for."",""You need to get some rest, as you have to get up early in the morning."",""I'm considering entering for the beauty contest this summer, so I must have a slender figure."",""You are quite right. Thank you for sharing your experience with me. I learned a lot.""]"	[97,1251,313,49,1169]	[97,1251,313,49,1169]	5	16	.	13	5		"Speaker 1: you haven't spent much time with Sophia lately. Are you speaking to each other at the moment?
Speaker 2: No, we're not. We've been drifting apart for a while.
Speaker 1: "	"Speaker 1: you haven't spent much time with Sophia lately. Are you speaking to each other at the moment?
Speaker 2: No, we're. We've been drifting apart for a while.
Speaker 1: "	Speaker 1	2
909	909	2439	8719	not		you don't look too well. Maybe you should take the day off from work.__eou__I couldn't do that. I have an important meeting to go to today.__eou__do you feel ok?	Not really. After a 12 - hour flight, I've got jetlag, and on top of that, I think I've also got the flu.	Really. After a 12 - hour flight, I've got jetlag, and on top of that, I think I've also got the flu.	why don't you call your secretary and tell her to reschedule the meeting? You should really get some seat or you'll end up feeling even worse than you do now.	"[""Well, I've got an idea, put the label cancer sticks on each pack of cigarettes, and read it before you smoke. It may give you a feeling to reduce it."",""Why don't you call your secretary and tell her to reschedule the meeting? You should really get some rest or you'll end up feeling even worse than you do now."",""That's why it is so popular. It was recorded by Barbara Tutin. I've heard that when she sang this song on stage the opening night, she created quite a sensation."",""It's almost like going on an ocean cruise except that you go by land. Everything is planned for you from the moment you step on board a luxury coach."",""Then what about tea? We need to bear in mind in the first place that tea, rather than coffee, has been the most popular drink for the Chinese people.""]"	[852,578,87,597,117]	[852,578,87,597,117]	5	30	.	13	5		"Speaker 1: you don't look too well. Maybe you should take the day off from work.
Speaker 2: I couldn't do that. I have an important meeting to go to today.
Speaker 1: do you feel ok?
Speaker 2: Not really. After a 12 - hour flight, I've got jetlag, and on top of that, I think I've also got the flu.
Speaker 1: "	"Speaker 1: you don't look too well. Maybe you should take the day off from work.
Speaker 2: I couldn't do that. I have an important meeting to go to today.
Speaker 1: do you feel ok?
Speaker 2: Really. After a 12 - hour flight, I've got jetlag, and on top of that, I think I've also got the flu.
Speaker 1: "	Speaker 1	0
910	910	2444	8730	not		Can you play baseball with me today?__eou__No, I can't. I'm sorry. I have to help my mother. We're going to move tomorrow.__eou__Where's the new house? Is it far from here?	No, it's not far. It's near our old house.	No, it's far. It's near our old house.	Can I help you pack?	"[""Where is the baby\u2019s mother?"",""Why are you feeling depress?"",""You honestly have no idea?"",""Any marks on his face?"",""How do you know that?""]"	[651,387,375,205,930]	[651,387,375,205,930]	5	5	?	13	5		"Speaker 1: Can you play baseball with me today?
Speaker 2: No, I can't. I'm sorry. I have to help my mother. We're going to move tomorrow.
Speaker 1: Where's the new house? Is it far from here?
Speaker 2: No, it's not far. It's near our old house.
Speaker 1: "	"Speaker 1: Can you play baseball with me today?
Speaker 2: No, I can't. I'm sorry. I have to help my mother. We're going to move tomorrow.
Speaker 1: Where's the new house? Is it far from here?
Speaker 2: No, it's far. It's near our old house.
Speaker 1: "	Speaker 1	3
911	911	2448	8741	not		What did you think of the movie?	I didn't like it. Not a bit. I couldn't stand the music. Besides the story was so boring that it put me to sleep.	I didn't like it. A bit. I couldn't stand the music. Besides the story was so boring that it put me to sleep.	I noticed that, it was not exciting as I expected, but the music was great. I'm always found Jazz. And that movie had a lot of Jazz.	"[""That's a thought. It's still early, and the beach isn't crowded at this time of the day. If we don't stay too long, we won't get sunburned."",""I think what you wear is so overrated. I would rather have a down-to-earth, honest and solid sales person than a painted, patent leather, designer suite salesman."",""Here's your schedule. After this meeting, we will visit the factory and have another meeting with the production manager. And you'll be having dinner with our director."",""I could not and can\u2019t make out the reason why she would set her heart on a man like Dick. He plays the field with many girls."",""Hmm. If that's true, then the security there must be very good.Because it's strange to think they will let people walk around in the White House.""]"	[921,779,1085,642,1012]	[921,779,1085,642,1012]	5	27	.	13	5		"Speaker 1: What did you think of the movie?
Speaker 2: I didn't like it. Not a bit. I couldn't stand the music. Besides the story was so boring that it put me to sleep.
Speaker 1: "	"Speaker 1: What did you think of the movie?
Speaker 2: I didn't like it. A bit. I couldn't stand the music. Besides the story was so boring that it put me to sleep.
Speaker 1: "	Speaker 1	4
912	912	2451	8749	not		Which of the two do you think is better? I mean, what's the difference between them?	Well ... this one costs more, but it has a much better sound.This part of it is made of wood, not plastic. And there's a tone control, too.	Well ... this one costs more, but it has a much better sound.This part of it is made of wood, plastic. And there's a tone control, too.	I only want it for the kitchen. I like to listen to the news at breakfast time.	"[""All right. Let me see. I think you'd wear a size 8. This shirt is size 8."",""why don't you turn off the TV and get outside? You need to get some fresh air."",""They are By new models now, they are not very expensive. Maybe you should look for one."",""Just alive? I guess you are some lucky guy. I heard you are going out with Jane."",""You cannot judge a person that way. I have a hunch that he is a sly dog.""]"	[70,915,65,837,598]	[70,915,65,837,598]	5	17	.	13	5		"Speaker 1: Which of the two do you think is better? I mean, what's the difference between them?
Speaker 2: Well ... this one costs more, but it has a much better sound.This part of it is made of wood, not plastic. And there's a tone control, too.
Speaker 1: "	"Speaker 1: Which of the two do you think is better? I mean, what's the difference between them?
Speaker 2: Well ... this one costs more, but it has a much better sound.This part of it is made of wood, plastic. And there's a tone control, too.
Speaker 1: "	Speaker 1	1
913	913	2452	8751	not		Hi, Fanny.__eou__Hi, Andy.__eou__Are you feeling OK? You sound a little tired this morning.	I did not sleep much last night. I really feel bad. It was a crazy night.	I did sleep much last night. I really feel bad. It was a crazy night.	What happened?	"[""Why not?"",""Excuse me?"",""This one?"",""How so?"",""like what?""]"	[397,1295,295,894,875]	[397,1295,295,894,875]	5	2	?	13	5		"Speaker 1: Hi, Fanny.
Speaker 2: Hi, Andy.
Speaker 1: Are you feeling OK? You sound a little tired this morning.
Speaker 2: I did not sleep much last night. I really feel bad. It was a crazy night.
Speaker 1: "	"Speaker 1: Hi, Fanny.
Speaker 2: Hi, Andy.
Speaker 1: Are you feeling OK? You sound a little tired this morning.
Speaker 2: I did sleep much last night. I really feel bad. It was a crazy night.
Speaker 1: "	Speaker 1	2
914	914	2453	8752	not		I don't know why people are just mad about David Peckham. Is there really anything so fascinating with him?__eou__He appeals to the fans thanks to two things__eou__you mean he plays well? Yeah, he often scores by free kicks in crucial games. But a football match is by no means merely a show of taking free kicks.	Certainly not. What really counts is to play as a team, passing the ball amongst each other, dodging defenders. Free kicks are a result of all the teammates' collective efforts. However, a few free k	Certainly. What really counts is to play as a team, passing the ball amongst each other, dodging defenders. Free kicks are a result of all the teammates' collective efforts. However, a few free k	In the case, maybe facial charm should be his leading card. After all, the majority of his fans are girls.	"[""I\u2019m thinking of taking you back home. I thought we could have a nice evening, but you\u2019re always so negative."",""Really? That's too bad! You should be at home in bed. It's really important to get a lot of rest."",""It beats me! I never thought about it before and maybe I thought finding a career is a simple thing."",""yeah, feels like yesterday. Now I\u2019m almost settled down here. We\u2019re planning to buy an apartment and tie the knot."",""You like horror movies? I don't like them because they're too scary! I like comedies because I love to laugh.""]"	[447,590,343,1236,495]	[447,590,343,1236,495]	5	20	.	13	5		"Speaker 1: I don't know why people are just mad about David Peckham. Is there really anything so fascinating with him?
Speaker 2: He appeals to the fans thanks to two things
Speaker 1: you mean he plays well? Yeah, he often scores by free kicks in crucial games. But a football match is by no means merely a show of taking free kicks.
Speaker 2: Certainly not. What really counts is to play as a team, passing the ball amongst each other, dodging defenders. Free kicks are a result of all the teammates' collective efforts. However, a few free k
Speaker 1: "	"Speaker 1: I don't know why people are just mad about David Peckham. Is there really anything so fascinating with him?
Speaker 2: He appeals to the fans thanks to two things
Speaker 1: you mean he plays well? Yeah, he often scores by free kicks in crucial games. But a football match is by no means merely a show of taking free kicks.
Speaker 2: Certainly. What really counts is to play as a team, passing the ball amongst each other, dodging defenders. Free kicks are a result of all the teammates' collective efforts. However, a few free k
Speaker 1: "	Speaker 1	0
915	915	2457	8757	not		hey, Jimmy, you've been sitting in front of the TV all day. Anything interesting on TV?	Not really. Quite boring right now, actually. Mostly infomercials and public service announcements.	Really. Quite boring right now, actually. Mostly infomercials and public service announcements.	why don't you turn off the TV and get outside? You need to get some fresh air.	"[""I\u2019m not kidding. Learning a language is a question of forming language habits and that takes time."",""What? Man, you don't know how to write a project report? That's sounds a little bit ridiculous."",""I know, and that's why I'm always respectful and I keep my distance. It's safer that way."",""Since you are not the one who caused the accident, your insurance cost should be the same."",""I only want it for the kitchen. I like to listen to the news at breakfast time.""]"	[357,1150,1075,1293,912]	[357,1150,1075,1293,912]	5	17	.	13	5		"Speaker 1: hey, Jimmy, you've been sitting in front of the TV all day. Anything interesting on TV?
Speaker 2: Not really. Quite boring right now, actually. Mostly infomercials and public service announcements.
Speaker 1: "	"Speaker 1: hey, Jimmy, you've been sitting in front of the TV all day. Anything interesting on TV?
Speaker 2: Really. Quite boring right now, actually. Mostly infomercials and public service announcements.
Speaker 1: "	Speaker 1	3
916	916	2459	8759	not		I heard that ben is forming his own band.__eou__it will be a rock and roll band probably. He’s a very good guitarist.__eou__can you play a musical instrument? If you can, he might ask you to join the band.	I can play drums, but I haven’t played for a while. I’m not sure I’d be good enough to play in a band.	I can play drums, but I haven’t played for a while. I’m sure I’d be good enough to play in a band.	I wish I could play a musical instrument. I love music.	"[""Didn't you read about Paypal and Bidpai? They are very safe."",""We have to cut back on our shopping from now on."",""We have tons of furniture. What we need are air conditioners."",""Well, you know how I am about exams. I'm a perfectionist."",""Oh, come on. I will be back as early as possible.""]"	[242,131,214,347,173]	[242,131,214,347,173]	5	11	.	13	5		"Speaker 1: I heard that ben is forming his own band.
Speaker 2: it will be a rock and roll band probably. He’s a very good guitarist.
Speaker 1: can you play a musical instrument? If you can, he might ask you to join the band.
Speaker 2: I can play drums, but I haven’t played for a while. I’m not sure I’d be good enough to play in a band.
Speaker 1: "	"Speaker 1: I heard that ben is forming his own band.
Speaker 2: it will be a rock and roll band probably. He’s a very good guitarist.
Speaker 1: can you play a musical instrument? If you can, he might ask you to join the band.
Speaker 2: I can play drums, but I haven’t played for a while. I’m sure I’d be good enough to play in a band.
Speaker 1: "	Speaker 1	3
917	917	2460	8763	not		are you good at making decisions?	Not really. Sometimes, I even let other people make key decision for me.	Really. Sometimes, I even let other people make key decision for me.	what kinds of decisions do you leave to other people?	"[""Hug! And this sweater from my aunt? Isn\u2019t it hideous?"",""Oh, that's too bad, Where can you park around here?"",""And in the meantime, how do you pay the rent?"",""Didn't I tell you to call when you're running late?"",""So how do you develop good relationships in the office?""]"	[735,596,684,305,427]	[735,596,684,305,427]	5	10	?	13	5		"Speaker 1: are you good at making decisions?
Speaker 2: Not really. Sometimes, I even let other people make key decision for me.
Speaker 1: "	"Speaker 1: are you good at making decisions?
Speaker 2: Really. Sometimes, I even let other people make key decision for me.
Speaker 1: "	Speaker 1	4
918	918	2461	8764	not		I find it really hard to express myself in class. I have lots of ideas, but they never seem to come out of my mouth.__eou__let me give you a little advice. You know what the topics are going to be, so prepares what you would like to say in advance.__eou__I often do, but I’m worried about the responses from other people.	You have to be realistic. Not everyone is going to agree with you, but people will respect your opinion and they will respect the fact that you have contributed something to the discussion.	You have to be realistic. Everyone is going to agree with you, but people will respect your opinion and they will respect the fact that you have contributed something to the discussion.	I’m worried that what I say will not make sense.	"[""We look forward to your settlement at an early date."",""Well, you have to take the bad with the good."",""Great! I'll sing, and you can dance in our band."",""Oh ... wait a minute ... here\u2019s my driver\u2019s license."",""They must be the most famous celebrity couple in Hollywood.""]"	[1157,419,504,1301,550]	[1157,419,504,1301,550]	5	10	.	13	5		"Speaker 1: I find it really hard to express myself in class. I have lots of ideas, but they never seem to come out of my mouth.
Speaker 2: let me give you a little advice. You know what the topics are going to be, so prepares what you would like to say in advance.
Speaker 1: I often do, but I’m worried about the responses from other people.
Speaker 2: You have to be realistic. Not everyone is going to agree with you, but people will respect your opinion and they will respect the fact that you have contributed something to the discussion.
Speaker 1: "	"Speaker 1: I find it really hard to express myself in class. I have lots of ideas, but they never seem to come out of my mouth.
Speaker 2: let me give you a little advice. You know what the topics are going to be, so prepares what you would like to say in advance.
Speaker 1: I often do, but I’m worried about the responses from other people.
Speaker 2: You have to be realistic. Everyone is going to agree with you, but people will respect your opinion and they will respect the fact that you have contributed something to the discussion.
Speaker 1: "	Speaker 1	4
919	919	2465	8773	not		I went shopping without my umbrella yesterday morning.__eou__Yesterday morning was beautiful i thought the sunning was going to continue.__eou__So did i. that's why i didn't take my umbrella. i got cold in the rain in the afternoon.it was raining cats and dogs.	I know. i could not believe it when i got hit by that storm.it was pouring with rain all afternoon.	I know. i could believe it when i got hit by that storm.it was pouring with rain all afternoon.	We really have some miserable weather sometime. i wish i would live somewhere which were sunning all year round.	"[""I couldn't find the files you request, even though I checked all the cross-references. I don't think it's there."",""I'm so familiar with her songs, but I don't know what kind of person she is in real life."",""No no, I just changed my eating habits. I eat a balanced meal. and I eat less than before."",""I apologize for everything disturbing you. We will give another room to you right now. Please wait a moment."",""No no, I just changed my eating habits. I eat a balance meal. and I eat less than before.""]"	[1054,453,163,963,659]	[1054,453,163,963,659]	5	19	.	13	5		"Speaker 1: I went shopping without my umbrella yesterday morning.
Speaker 2: Yesterday morning was beautiful i thought the sunning was going to continue.
Speaker 1: So did i. that's why i didn't take my umbrella. i got cold in the rain in the afternoon.it was raining cats and dogs.
Speaker 2: I know. i could not believe it when i got hit by that storm.it was pouring with rain all afternoon.
Speaker 1: "	"Speaker 1: I went shopping without my umbrella yesterday morning.
Speaker 2: Yesterday morning was beautiful i thought the sunning was going to continue.
Speaker 1: So did i. that's why i didn't take my umbrella. i got cold in the rain in the afternoon.it was raining cats and dogs.
Speaker 2: I know. i could believe it when i got hit by that storm.it was pouring with rain all afternoon.
Speaker 1: "	Speaker 1	3
920	920	2466	8777	not		There are so many environment problems in the world today. Do you think we can really solve them all or will destroy the world?__eou__I hope that world leaders can get together and agree on a plan of action, but I doubt it’ll happen before it’s too late.__eou__We need to solve the problem of air pollution before we destroy the atmosphere. There’s lots of clean, modern technology, but companies in developed countries say it’s expensive. Developing countries	Everyone is looking at the issue in the short term, rather than the long term. It’s the same with the destruction of the rainforests. Countries and companies just want the wood. They’re not thinking a	Everyone is looking at the issue in the short term, rather than the long term. It’s the same with the destruction of the rainforests. Countries and companies just want the wood. They’re thinking a	In other parts of the world, especially in Africa, there is a problem with desertification. Climate change and over-farming are causing farmland to turn into desert. In means that people cannot grow e	"[""Well as we know nothing comes out of a can. We have years of experience tailoring workshops to the specific needs of your company. We can hone in on your problem areas and have your employe"",""Not a problem. We offer a Personal Loan for Studying Abroad for anyone who's studying overseas, regardless of the circumstances. Anyone is eligible to apply"",""Here we go. There is a museum of the Beijing Opera art. ( They come to the museum of the Beijing Opera art. )"",""University graduates have difficulty finding a job too. There seems to be more and more competition in the job market"",""Oh! I've just come back from Canada and I've brought a parcel from her parents""]"	[1303,1250,468,526,611]	[1303,1250,468,526,611]	5	33		13	5		"Speaker 1: There are so many environment problems in the world today. Do you think we can really solve them all or will destroy the world?
Speaker 2: I hope that world leaders can get together and agree on a plan of action, but I doubt it’ll happen before it’s too late.
Speaker 1: We need to solve the problem of air pollution before we destroy the atmosphere. There’s lots of clean, modern technology, but companies in developed countries say it’s expensive. Developing countries
Speaker 2: Everyone is looking at the issue in the short term, rather than the long term. It’s the same with the destruction of the rainforests. Countries and companies just want the wood. They’re not thinking a
Speaker 1: "	"Speaker 1: There are so many environment problems in the world today. Do you think we can really solve them all or will destroy the world?
Speaker 2: I hope that world leaders can get together and agree on a plan of action, but I doubt it’ll happen before it’s too late.
Speaker 1: We need to solve the problem of air pollution before we destroy the atmosphere. There’s lots of clean, modern technology, but companies in developed countries say it’s expensive. Developing countries
Speaker 2: Everyone is looking at the issue in the short term, rather than the long term. It’s the same with the destruction of the rainforests. Countries and companies just want the wood. They’re thinking a
Speaker 1: "	Speaker 1	1
921	921	2474	8788	not		Wake up sleepyhead.The sun is beginning to shine. What a lovely summer day!__eou__Yeah, clearly blue sky.But it is a bit too hot for me. I don't like heat and humidity.	It's not that hot. It's cooler than yesterday. Let's go swimming!	It's that hot. It's cooler than yesterday. Let's go swimming!	That's a thought. It's still early, and the beach isn't crowded at this time of the day. If we don't stay too long, we won't get sunburned.	"[""Here's your schedule. After this meeting, we will visit the factory and have another meeting with the production manager. And you'll be having dinner with our director."",""I noticed that, it was not exciting as I expected, but the music was great. I'm always found Jazz. And that movie had a lot of Jazz."",""I think what you wear is so overrated. I would rather have a down-to-earth, honest and solid sales person than a painted, patent leather, designer suite salesman."",""I could not and can\u2019t make out the reason why she would set her heart on a man like Dick. He plays the field with many girls."",""Maybe it's a good things. If you don't have to go to Hong Kong, you can take a break and take things easy for a while.""]"	[1085,911,779,642,521]	[1085,911,779,642,521]	5	27	.	13	5		"Speaker 1: Wake up sleepyhead.The sun is beginning to shine. What a lovely summer day!
Speaker 2: Yeah, clearly blue sky.But it is a bit too hot for me. I don't like heat and humidity.
Speaker 1: It's not that hot. It's cooler than yesterday. Let's go swimming!
Speaker 2: "	"Speaker 1: Wake up sleepyhead.The sun is beginning to shine. What a lovely summer day!
Speaker 2: Yeah, clearly blue sky.But it is a bit too hot for me. I don't like heat and humidity.
Speaker 1: It's that hot. It's cooler than yesterday. Let's go swimming!
Speaker 2: "	Speaker 2	3
922	922	2480	8796	not		I’m betting the New York Yankees win. How about you?__eou__Well, I’m favor of the Red Sox. They’Ve had a good season.__eou__Sorry, guys. Could I just interrupt for a moment? My money is on the Yankees!	That’s not a very good pick. I’m against the Yankees.	That’s a very good pick. I’m against the Yankees.	Hey, Ken. Good luck if you already put your money on the Red Sox.	"[""Well. You know I hate walking, but I can\u2019t wait to see your guys\u2019video."",""Ok. Here are the ones, turtleneck pullover, crewneck pullover, V-neck pullover and cowl-neck pullover."",""And I suppose sitting at the desk all day at the office doesn't help."",""And I suppose sitting at the desk all day in the office doesn't help."",""Really? I had no idea. Let me check.Yes, it's dead. There's no dial tone.""]"	[820,106,162,727,874]	[820,106,162,727,874]	5	14	.	13	5		"Speaker 1: I’m betting the New York Yankees win. How about you?
Speaker 2: Well, I’m favor of the Red Sox. They’Ve had a good season.
Speaker 1: Sorry, guys. Could I just interrupt for a moment? My money is on the Yankees!
Speaker 2: That’s not a very good pick. I’m against the Yankees.
Speaker 1: "	"Speaker 1: I’m betting the New York Yankees win. How about you?
Speaker 2: Well, I’m favor of the Red Sox. They’Ve had a good season.
Speaker 1: Sorry, guys. Could I just interrupt for a moment? My money is on the Yankees!
Speaker 2: That’s a very good pick. I’m against the Yankees.
Speaker 1: "	Speaker 1	4
923	923	2481	8797	not		what did you do over the weekend?__eou__I went a global warming rally in London. It was fantastic to be around so many people who care about the environment.__eou__do you think there's anything we can do to reverse the damage that's been done already?	It might not be possible to fix the problems that we've created for ourselves, but there are lots of things we can do to prevent more damages from happening.	It might be possible to fix the problems that we've created for ourselves, but there are lots of things we can do to prevent more damages from happening.	like what?	"[""How come?"",""Why not?"",""what's wrong?"",""I lost?"",""What happened?""]"	[440,844,899,1290,913]	[440,844,899,1290,913]	5	2	?	13	5		"Speaker 1: what did you do over the weekend?
Speaker 2: I went a global warming rally in London. It was fantastic to be around so many people who care about the environment.
Speaker 1: do you think there's anything we can do to reverse the damage that's been done already?
Speaker 2: It might not be possible to fix the problems that we've created for ourselves, but there are lots of things we can do to prevent more damages from happening.
Speaker 1: "	"Speaker 1: what did you do over the weekend?
Speaker 2: I went a global warming rally in London. It was fantastic to be around so many people who care about the environment.
Speaker 1: do you think there's anything we can do to reverse the damage that's been done already?
Speaker 2: It might be possible to fix the problems that we've created for ourselves, but there are lots of things we can do to prevent more damages from happening.
Speaker 1: "	Speaker 1	1
